> No.0   color.3
103.058092   24.734658
103.052124   24.717841
103.049577   24.711932
103.047663   24.705163
103.046422   24.702120
103.044979   24.696520
103.043035   24.694138
103.040865   24.690460
103.039741   24.685667
103.038744   24.678830
103.037435   24.674555
103.034907   24.667314
103.033920   24.661992
103.032610   24.654918
103.031651   24.649743
103.031547   24.642039
103.029994   24.639800
103.029081   24.635693
103.028640   24.631299
103.028213   24.623567
103.028578   24.616008
103.028809   24.605138
103.029347   24.595134
103.029938   24.588801
103.030057   24.582898
103.030618   24.579180
103.030423   24.574980
103.030542   24.570482
103.031981   24.565765
103.033196   24.560260
103.033196   24.552003
> No.137   color.3
103.156752   25.054473
103.155345   25.036997
103.154523   25.026248
103.154004   25.021963
> No.138   color.3
103.203436   25.260719
103.201437   25.253422
103.199760   25.248502
103.197948   25.244300
103.197125   25.242717
103.196126   25.238684
103.193974   25.233724
103.192801   25.228531
103.190594   25.223899
103.188141   25.217870
103.186872   25.212161
103.185767   25.207001
103.184301   25.203449
103.182648   25.199032
103.181568   25.195479
103.180889   25.188419
103.180287   25.184030
103.178963   25.181579
103.177022   25.177256
103.176355   25.170604
103.174700   25.163414
103.173046   25.155924
> No.139   color.3
103.207465   25.268582
103.204243   25.260758
> No.140   color.3
103.594075   31.000056
103.589379   30.996143
103.584908   30.992790
103.582434   30.991437
103.576635   30.989436
103.571434   30.986897
103.566686   30.984405
103.558846   30.980843
103.552681   30.977188
103.546340   30.972332
103.541869   30.970096
103.537732   30.966966
103.534515   30.961434
103.529683   30.955340
103.524653   30.948521
103.520852   30.944720
103.516380   30.941366
103.509449   30.936783
103.502518   30.933317
103.496593   30.929181
103.492457   30.926163
103.488545   30.922138
103.486421   30.918114
103.482620   30.911742
103.479378   30.903022
103.476583   30.893743
103.473900   30.882341
103.470882   30.873621
103.468199   30.866243
103.464174   30.858529
103.458920   30.848915
103.453442   30.840643
103.448635   30.834047
103.440937   30.822564
103.433918   30.814949
103.429635   30.810429
103.427493   30.809477
103.424638   30.809001
103.421307   30.807573
103.415120   30.804599
103.405959   30.800197
103.396917   30.796152
103.389898   30.794486
103.385258   30.792345
103.379904   30.789489
103.377049   30.785087
103.372885   30.777473
103.369434   30.773904
103.365984   30.770573
103.353968   30.760936
103.344569   30.751537
103.341476   30.749157
103.339691   30.746064
103.337906   30.742852
103.336717   30.737855
103.336122   30.734286
103.334337   30.728099
103.330317   30.721774
103.327467   30.718553
103.323874   30.715456
103.320281   30.711739
103.317927   30.710624
103.314953   30.707898
103.310741   30.704057
103.305785   30.700216
103.300953   30.694765
103.295502   30.691667
103.286209   30.686216
103.281129   30.682499
103.275802   30.675809
103.270598   30.669366
103.267749   30.666021
