> FaultNo.1   color.1
103.849914   27.241449
103.849914   27.206803
103.847439   27.174632
103.837540   27.162259
103.805369   27.146173
103.776910   27.123901
103.753401   27.096680
103.726179   27.065746
> FaultNo.27   color.1
103.060116   27.444476
103.054636   27.438733
103.039857   27.422763
103.025540   27.406546
103.015318   27.393499
103.008206   27.382667
103.003342   27.373005
102.999709   27.363558
102.996415   27.353341
102.992505   27.341340
102.987056   27.326570
102.979729   27.310261
102.970923   27.294198
102.960825   27.278289
102.949648   27.262472
102.937640   27.246625
102.924986   27.230654
102.911931   27.214499
102.898661   27.198067
102.886469   27.182527
102.875939   27.168710
102.866240   27.156125
102.856511   27.144216
102.845950   27.132492
102.840598   27.127210
> FaultNo.28   color.1
102.840598   27.127210
102.833696   27.120399
102.818917   27.107444
102.800781   27.093073
> FaultNo.29   color.1
103.860479   28.031858
103.850349   28.025303
103.840373   28.018872
103.830612   28.012533
103.821067   28.006287
103.811800   28.000194
103.802870   27.994286
103.794249   27.988531
103.785997   27.982962
103.760841   27.966468
103.738180   27.952836
103.716749   27.940712
103.695319   27.928803
103.672657   27.915756
103.647501   27.900247
103.618558   27.880954
103.584627   27.856582
103.550296   27.831657
103.520430   27.811040
103.493980   27.793747
103.469995   27.778761
103.447487   27.765098
103.445986   27.764191
> FaultNo.30   color.1
103.881193   28.036515
103.904779   28.052578
103.928549   28.068733
103.952042   28.084765
103.974796   28.100459
103.996349   28.115506
104.016240   28.129723
104.034037   28.142832
104.049216   28.154617
104.070000   28.169295
104.092415   28.182127
104.115601   28.193420
104.138509   28.203421
104.160217   28.212468
104.179708   28.220807
104.196027   28.228746
104.208251   28.236562
> FaultNo.31   color.1
103.770694   27.410232
103.848580   27.519026
103.947483   27.653781
104.156415   27.731667
104.366834   27.788124
> FaultNo.32   color.1
103.848243   25.600801
103.898672   25.469542
103.883361   25.329147
103.907077   25.245595
103.907198   25.230664
103.849108   25.090155
103.773744   24.993982
> FaultNo.33   color.1
103.302792   25.500795
103.361174   25.605470
103.422943   25.698209
103.474865   25.787935
103.578927   25.940513
103.669851   26.090068
103.790683   26.203869
103.967869   26.267055
104.049869   26.300123
104.171016   26.375104
104.266154   26.411194
104.341670   26.432300
104.439783   26.507219
104.488973   26.528254
> FaultNo.34   color.1
103.869076   25.087988
103.914214   25.137007
103.955256   25.183381
103.993127   25.227815
104.028781   25.270957
104.063080   25.313545
104.096979   25.356256
104.131370   25.399829
104.167178   25.444941
> FaultNo.35   color.1
103.536400   24.654721
103.541819   24.661737
103.556351   24.680569
103.577411   24.707833
103.602443   24.740174
103.628829   24.774269
103.653984   24.806734
103.675320   24.834244
103.690284   24.853384
103.702907   24.869631
103.717748   24.889479
103.733604   24.911173
103.749245   24.932898
103.763531   24.952900
103.775200   24.969393
103.783082   24.980594
103.785976   24.984718
> FaultNo.38   color.1
102.427606   30.520881
102.423809   30.518628
102.423047   30.518164
> FaultNo.39   color.1
102.423047   30.518164
