> FaultNo.8   color.2
102.639454   24.820955
102.641796   24.803846
102.643213   24.787906
102.643337   24.773320
102.642907   24.754703
102.643001   24.732240
102.643496   24.707930
102.644205   24.683682
102.645008   24.661434
102.645182   24.657293
> FaultNo.64   color.2
102.645182   24.657293
102.645779   24.643155
102.646334   24.630723
102.646550   24.626169
> FaultNo.70   color.2
102.815263   25.894138
102.818222   25.893077
102.820229   25.892210
102.822236   25.891534
102.825299   25.890568
102.827729   25.889508
102.830792   25.888255
102.833536   25.886508
102.837024   25.884598
102.839347   25.883059
102.842198   25.881040
102.844204   25.879789
102.846528   25.878537
102.849168   25.877092
102.851174   25.876130
102.853261   25.874725
102.855822   25.873721
> FaultNo.71   color.2
103.000197   25.788320
102.996674   25.790814
102.994270   25.792502
102.991211   25.793951
102.987729   25.795401
102.985198   25.797039
> FaultNo.72   color.2
102.920843   25.832521
102.923682   25.831903
102.925462   25.831179
102.927901   25.830094
102.929879   25.829070
102.931395   25.828048
> FaultNo.73   color.2
102.294694   25.637967
102.295015   25.637535
102.295176   25.637074
102.295445   25.636125
102.296266   25.633195
102.296208   25.629134
102.295593   25.624345
102.295077   25.621185
102.294138   25.618406
102.292794   25.615041
102.292896   25.612180
102.293008   25.610169
102.293854   25.605992
102.295990   25.601456
102.297272   25.596573
102.298552   25.592073
102.300999   25.585371
102.303122   25.580680
102.305460   25.574936
102.306948   25.571202
102.307038   25.570865
102.308016   25.567181
102.309829   25.560574
102.310788   25.557223
102.312275   25.553679
102.313934   25.549803
102.315443   25.545700
102.316910   25.541711
102.318875   25.536613
102.320274   25.532626
102.320273   25.527971
102.320262   25.523230
102.320684   25.518186
102.320727   25.517675
102.321583   25.513606
102.322749   25.507334
102.323611   25.501109
102.323941   25.496608
102.323955   25.492201
102.323885   25.490255
102.323274   25.488370
102.321240   25.485496
102.319185   25.479048
102.317702   25.473589
102.315924   25.469019
102.314367   25.462602
102.312803   25.457908
102.310927   25.452352
102.309366   25.446796
102.308326   25.444497
102.307173   25.441815
> FaultNo.74   color.2
102.244718   24.894732
102.245963   24.898754
102.247429   24.903744
102.248477   24.906431
102.249314   24.910078
102.250047   24.913436
102.250466   24.915548
102.250675   24.918715
102.251303   24.923609
102.251932   24.927256
102.252770   24.931479
102.253817   24.935222
102.255388   24.940500
102.256122   24.944434
102.256541   24.946833
102.258636   24.955758
102.260417   24.960172
102.261465   24.964106
102.261884   24.966697
102.262618   24.970152
102.263351   24.973607
102.263875   24.976966
102.264819   24.980324
102.265971   24.983779
102.267229   24.987138
102.267735   24.988549
102.268521   24.990768
> FaultNo.75   color.2
102.266752   24.990888
102.267858   24.995488
102.268906   24.999134
102.270269   25.003740
102.271423   25.007003
102.272471   25.011033
102.273310   25.014008
102.274149   25.016215
102.274883   25.019670
102.275407   25.022357
102.276561   25.026195
102.277609   25.029650
102.278448   25.032240
102.279078   25.034736
102.279287   25.036175
102.280231   25.039823
102.281175   25.044525
102.281700   25.047596
102.282015   25.049707
102.282854   25.056616
102.283169   25.060743
102.283694   25.069188
102.284323   25.072931
102.284953   25.077154
102.285268   25.080896
102.285582   25.085503
102.286422   25.088765
102.287472   25.091548
102.288416   25.095195
102.289571   25.098458
102.290726   25.103064
102.291356   25.106231
102.291775   25.108726
102.292195   25.111509
102.292510   25.114292
102.292615   25.115348
> FaultNo.76   color.2
102.284089   25.827003
102.283892   25.824913
102.283786   25.822574
102.283642   25.817585
102.282629   25.813203
102.281937   25.807960
102.281641   25.803705
102.282290   25.798463
102.282071   25.793525
102.280746   25.788120
102.279612   25.782251
102.279209   25.777271
102.279228   25.771314
102.279568   25.766162
102.280646   25.760035
102.282030   25.756780
102.284044   25.753366
102.284907   25.749409
102.285029   25.743672
102.284953   25.737055
102.284968   25.733033
102.284460   25.727861
102.284378   25.721731
